Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,26,20,22,SSE,0.0,54,5,1014
2009-01-02,19,15,42,NW,0.3,70,34,1018
2009-01-03,16,14,40,NW,0.0,64,2,1023
2009-01-04,17,13,33,NW,0.0,61,6,1022
2009-01-05,18,14,28,NW,0.0,57,2,1020
2009-01-06,18,15,30,NW,0.0,59,0,1019
2009-01-07,20,15,16,WSW,0.0,60,7,1018
2009-01-08,20,17,12,S,0.0,63,15,1019
2009-01-09,20,16,17,WNW,0.0,60,14,1021
2009-01-10,19,17,12,S,0.0,59,23,1021
2009-01-11,20,19,19,ENE,0.0,59,42,1020
2009-01-12,19,18,12,NE,0.6,59,29,1021
2009-01-13,18,15,25,WNW,0.0,62,4,1022
2009-01-14,15,13,27,NW,0.1,56,2,1026
2009-01-15,20,15,21,NW,0.5,59,6,1025
2009-01-16,19,15,21,NW,0.0,48,1,1025
2009-01-17,18,14,10,WSW,0.0,48,16,1023
2009-01-18,19,15,12,SE,0.0,51,20,1019
2009-01-19,20,16,15,SSE,0.0,55,26,1017
2009-01-20,20,15,19,S,0.0,55,4,1017
2009-01-21,19,15,15,W,0.0,51,0,1019
2009-01-22,19,15,19,NW,0.0,63,0,1019
2009-01-23,18,15,21,WNW,0.7,55,13,1017
2009-01-24,18,14,15,WSW,0.0,57,10,1017
2009-01-25,20,15,15,SSE,0.0,55,20,1017
2009-01-26,20,16,11,ENE,0.0,62,1,1019
2009-01-27,20,16,9,E,0.0,62,4,1018
2009-01-28,21,18,15,NNW,0.0,62,9,1018
2009-01-29,21,18,13,S,0.0,61,20,1018
2009-01-30,23,18,20,SE,0.0,58,5,1015
2009-01-31,23,19,22,SE,0.0,60,9,1014
2009-02-01,24,20,17,SSE,0.0,58,15,1013
2009-02-02,20,18,35,NNW,0.0,58,0,1019
2009-02-03,20,18,33,NNW,0.0,56,0,1021
2009-02-04,20,18,33,NNW,0.0,57,0,1021
